origin_x,origin_y
5915,0.90517542
5916,0.9015989
5917,0.89809732
5918,0.8950728
5919,0.89267627
5920,0.89105181
5921,0.89037075
5922,0.89071634
5923,0.89203981
5924,0.89424318
5925,0.89715134
5926,0.9005828
5927,0.90406551
5928,0.90746957
5929,0.91040001
5930,0.9127057
5931,0.91422051
5932,0.91473294
5933,0.9141687
5934,0.91258907
5935,0.91014836
5936,0.90708268
5937,0.90367152
5938,0.90015355
5939,0.89677647
5940,0.89397081
5941,0.89191601
5942,0.89070638
5943,0.89056021
5944,0.89139827
5945,0.89330755
5946,0.89592307
5947,0.89905608
5948,0.90254302
5949,0.90611049
5950,0.90934806
5951,0.91196892
5952,0.91381323
5953,0.91466036
5954,0.91447932
5955,0.91328573
5956,0.91113536
5957,0.90826068
5958,0.90491862
5959,0.90136476
5960,0.89786085
5961,0.89490842
5962,0.89251994
5963,0.89109336
5964,0.8905275
5965,0.89106798
5966,0.89271343
5967,0.89511832
5968,0.89821993
5969,0.90160993
5970,0.90514465
5971,0.90843739
5972,0.91130222
5973,0.91340534
5974,0.91455154
5975,0.91461399
5976,0.91366258
5977,0.91173792
5978,0.90907276
5979,0.90594904
5980,0.90237081
5981,0.8989152
5982,0.89573369
5983,0.89332125
5984,0.89169331
5985,0.89099687
5986,0.89133449
5987,0.89272065
5988,0.89491249
5989,0.89793443
5990,0.90129993
5991,0.90484608
5992,0.90824265
5993,0.91115843
5994,0.91330602
5995,0.91455886
5996,0.91479608
5997,0.91399022
5998,0.91217708
5999,0.90951494
6000,0.90631142
